** Trigger:
*** Country is 0 "Mali
*** Stability is lower than 0
*** Year is less than 1550
*** Owns 0 "Trarza
*** Owns 0 "Cayor
*** Owns 0 "Wolof
*** Owns 0 "Siine
*** 0 "Jolof does not exist
*** Does not have the DLC Origins
** Mean time to happen
*** Base mean time to happen of 36 months
** Option: 0 "Mali's decline ends here!:
*** AI chance:
**** Base chance of 90
*** 0 "Trarza:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Cayor:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Wolof:
**** Spawns 2 revolt size of nationalist rebels
*** 0 "Siine:
**** Spawns 2 revolt size of nationalist rebels
** Option: 0 "We can make some concessions...:
*** AI chance:
**** Base chance of 10
*** Release 0 "Jolof as a vassal
* Gets the province event:
** ID is flavor_mal.2
** title = flavor_mal.2.t
** desc = flavor_mal.2.d
** picture = HORDE_ON_HORSEBACK_eventPicture
** fire_only_once = yes
** Trigger:
*** Province is 0 "Kantor
*** 0 "Fulo does not exist
*** Year is at least 1470
*** tekrur_area:
**** Is uncolonized
** Mean time to happen
*** Base mean time to happen of 36 months
** Immediate effects:
*** Hidden effect:
**** Every province in the world:
***** Limited to:
****** Any of the following:
******* area = tekrur_area
******* Province is 0 "Trarza
******* Province is 0 "Bambuk
******* Province is 0 "Kantor
******* Province is 0 "Termes
******* Province is 0 "Wagadu
******* Province is 0 "Baghena
***** Gives 0 "Fulo core on the province
***** If:
****** Limited to:
******* The owner of the province:
******** Does not have the country flag fulani_info_flag
****** The owner of the province:
******* Gets the country event:
******** ID is flavor_mal.3
******* Sets the country flag fulani_info_flag
***** Every province in the world:
****** Limited to:
******* Any of the following:
******** area = tekrur_area
******** Province is 0 "Trarza
******** Province is 0 "Bambuk
******** Province is 0 "Kantor
******** Province is 0 "Termes
******** Province is 0 "Wagadu
******** Province is 0 "Baghena
******* Is colonized
****** Adds the modifier "mal_fulani_migration" until the end of the campaign:
******* local_unrest = 5
****** Changes culture to fulani
***** baghena_area:
****** Limited to:
******* Culture is fulani
****** If:
******* Limited to:
******** Has core on 0 "Segu
******** The province is not owned by 0 "Segu
******* Removes core on 0 "Segu
****** Gives 0 "Macina core on the province
** Option: flavor_mal.2.a:
*** Every province in the world:
**** Limited to:
***** Any of the following:
****** area = tekrur_area
****** Province is 0 "Trarza
****** Province is 0 "Bambuk
****** Province is 0 "Kantor
****** Province is 0 "Termes
****** Province is 0 "Wagadu
****** Province is 0 "Baghena
***** Is uncolonized
**** Cedes province to 0 "Fulo
*** Hidden effect:
**** 0 "Fulo:
***** Spawns a ruler:
****** Named "Koli Tengella"
****** Ruler's dynasty is Denianke
****** Changes ruler's military skill by 4
****** Legitimacy of 100
***** If:
****** Limited to:
******* Has the DLC Rights of Man
****** add_ruler_personality_ancestor:
******* Named "conqueror"
***** adopt_reform_progress = our country
***** Capital:
****** build_to_forcelimit:
******* Spawns an infantry unit in 0.7
******* Spawns a cavalry unit in 0.3
***** Gets the country event:
****** ID is flavor_mal.43
**** mal_mansa_musa_visit_effect = yes
*** If:
**** Limited to:
***** Has the country flag mal_journey_to_arabia
***** Does not own 0 "Mecca
**** 0 "Mecca:
***** The owner of the province:
****** Gets the country event:
******* ID is flavor_mal.48
*** else_if:
**** Limited to:
***** Has the country flag mal_journey_to_arabia
***** Owns 0 "Mecca
**** 0 "Mecca:
***** Changes base tax by 2
***** add_base_production = 2
***** set_great_project_tier_3:
*** Changes piety by 10%
*** AI chance:
**** Base chance of 1
***** Has less than 3 years worth of income
**** Multiplies value by 0:
** Option: flavor_mal.41.b:
*** Trigger:
**** Does not have the country flag mal_journey_to_home
**** mal_target_country_exists_in_region = yes
*** Modifies treasury by -0.5 years worth of income
*** Hidden effect:
**** mal_mansa_musa_visit_effect = yes
*** Changes piety by 5%
*** If:
**** Limited to:
***** Has the country flag mal_journey_to_arabia
***** Does not own 0 "Mecca
**** 0 "Mecca:
***** The owner of the province:
****** Gets the country event:
******* ID is flavor_mal.48
*** else_if:
**** Limited to:
***** Has the country flag mal_journey_to_arabia
***** Owns 0 "Mecca
**** 0 "Mecca:
***** Changes base tax by 2
***** add_base_production = 2
***** set_great_project_tier_3:
*** AI chance:
**** Base chance of 1
***** Has less than 1 years worth of income
**** Multiplies value by 0:
** Option: flavor_mal.41.c:
*** Trigger:
**** Does not have the country flag mal_journey_to_home
**** mal_target_country_exists_in_region = yes
*** Changes piety by -10%
*** AI chance:
**** Base chance of 1
***** Has at least 1 years worth of income
**** Multiplies value by 0:
** Option: flavor_mal.41.d:
*** Trigger:
**** Has the country flag mal_journey_to_home
*** Adds the modifier "mal_the_pilgrim" for the rest of the campaign:
**** +1 tolerance of the true faith
**** Legitimacy is at least 0.25
**** devotion = 0.25
**** Republican tradition is at least 0.1
**** horde_unity = 0.25
**** meritocracy = 0.25
*** Hidden effect:
**** Removes the country flag mal_journey_to_home
*** Removes the country modifier "mal_mansas_journey"
*** Removes the country modifier "mal_advisors_journey"
*** AI chance:
**** Base chance of 1
** Option: flavor_mal.41.e:
*** Trigger:
**** Does not have the country flag mal_journey_to_home
**** mal_target_country_exists_in_region_false = no
**** mal_owns_provinces_in_region_false = no
*** Changes prestige by 15
*** AI chance:
**** Base chance of 1
** Option: flavor_mal.41.f:
*** Trigger:
**** Does not have the country flag mal_journey_to_home
**** mal_target_country_exists_in_region_false = no
**** mal_owns_provinces_in_region = yes
*** mal_invest_in_own_provinces_effect = yes
*** AI chance:
**** Base chance of 1
** after:
*** mal_travel_to_next_area = yes
* Gets the country event:
** ID is flavor_mal.42
** title = 0 "none
** desc = 0 "none
** picture = 0 "none
** hidden = yes
** Trigger:
*** Any of the following:
**** Has the country modifier "mal_mansas_journey"
**** Has the country modifier "mal_advisors_journey"
*** Any of the following:
**** Has had the country flag "mal_journey_to_iberia" for at least 120 days
**** Has had the country flag "mal_journey_to_france" for at least 140 days
**** Has had the country flag "mal_journey_to_italy" for at least 110 days
**** Has had the country flag "mal_journey_to_south_germany" for at least 90 days
**** Has had the country flag "mal_journey_to_balkans" for at least 165 days
**** Has had the country flag "mal_journey_to_anatolia" for at least 100 days
**** Has had the country flag "mal_journey_to_mashriq" for at least 70 days
**** Has had the country flag "mal_journey_to_egypt" for at least 35 days
**** Has had the country flag "mal_journey_to_arabia" for at least 105 days
**** Has had the country flag "mal_journey_to_horn_of_africa" for at least 140 days
**** Has had the country flag "mal_journey_to_home" for at least 365 days
*** Does not have the country flag mal_has_just_arrived
** Mean time to happen
*** Base mean time to happen of 1 days
*** If:
**** Limited to:
***** Any of the following:
****** Has the country modifier "mal_mansas_journey"
****** Has the country modifier "mal_advisors_journey"
**** Sets the country flag mal_has_just_arrived
**** Gets the country event:
***** ID is flavor_mal.41
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.43
** title = flavor_mal.43.t
** desc:
*** desc = flavor_mal.43.desc.a
*** Trigger:
**** Our country:
***** Has the country modifier "mal_mansas_journey"
***** Does not have the country modifier "mal_advisors_journey"
** desc:
*** desc = flavor_mal.43.desc.b
*** Trigger:
**** Our country:
***** Does not have the country modifier "mal_mansas_journey"
***** Has the country modifier "mal_advisors_journey"
** picture = MALI_RULER_eventPicture
** is_triggered_only = yes
** Immediate effects:
*** Hidden effect:
**** export_to_variable:
***** which = mal_money_to_give
***** value = years_of_income
***** Affecting our country
**** Sets the variable mal_money_to_give_tt to 0
**** while:
***** Limited to:
****** The variable mal_money_to_give is equal or higher than 1
***** subtract_variable:
****** which = mal_money_to_give
****** value = 1
***** Changes the variable mal_money_to_give_tt by 1
**** export_to_variable:
***** which = trade_income_variable_tt
***** value = trade_income_percentage
**** multiply_variable:
***** which = trade_income_variable_tt
***** value = 100
**** multiply_variable:
***** which = trade_income_variable_tt
***** value = 0.2
** Option: flavor_mal.43.a:
*** add_inflation_scaled_to_trade:
**** Inflation is less than 0.2
*** Adds the modifier "mal_investment_of_the_mansa" for 5 years:
**** -25% build cost
**** great_project_upgrade_cost = -0.25
**** -25% regiment cost
**** -25% ship cost
*** Adds the modifier "mal_the_gold_inflation" for 5 years:
**** Reduces inflation by -1 per year
*** Hidden effect:
**** Adds the opinion modifier "mal_accepted_gift" from our country
**** Our country:
***** Gets the country event:
****** ID is flavor_mal.44
*** AI chance:
**** Base chance of 1
** Option: flavor_mal.43.b:
*** Adds the modifier "mal_the_gold_inflation" for 5 years:
**** Reduces inflation by -1 per year
*** Adds the opinion modifier "mal_refused_gift" from our country
*** Hidden effect:
**** Our country:
***** Gets the country event:
****** ID is flavor_mal.45
*** AI chance:
**** Base chance of 0
* Gets the country event:
** ID is flavor_mal.44
** title = flavor_mal.44.t
** desc:
*** desc = flavor_mal.44.desc.a
*** Trigger:
**** Our country:
***** Has the country modifier "mal_mansas_journey"
***** Does not have the country modifier "mal_advisors_journey"
** desc:
*** desc = flavor_mal.44.desc.b
*** Trigger:
**** Our country:
***** Does not have the country modifier "mal_mansas_journey"
***** Has the country modifier "mal_advisors_journey"
** picture = muslimgfx_TRADEGOODS_eventPicture
** is_triggered_only = yes
** Immediate effects:
*** Hidden effect:
**** export_to_variable:
***** which = mal_money_to_give
***** value = years_of_income
***** Affecting our country
**** multiply_variable:
***** which = mal_money_to_give
***** value = 2
** Option: flavor_mal.44.a:
*** Adds the opinion modifier "mal_investments_enabled" from our country
*** transfer_treasury:
**** giver = our country
**** taker = our country
**** variable = mal_money_to_give
*** AI chance:
**** Base chance of 1
* Gets the country event:
** ID is flavor_mal.45
** title = flavor_mal.45.t
** desc:
*** desc = flavor_mal.45.desc.a
*** Trigger:
**** Our country:
***** Has the country modifier "mal_mansas_journey"
***** Does not have the country modifier "mal_advisors_journey"
** desc:
*** desc = flavor_mal.45.desc.b
*** Trigger:
**** Our country:
***** Does not have the country modifier "mal_mansas_journey"
***** Has the country modifier "mal_advisors_journey"
** picture = muslimgfx_TRADEGOODS_eventPicture
** is_triggered_only = yes
** Immediate effects:
*** Hidden effect:
**** Our country:
***** Random neighbor country:
****** Limited to:
******* Does not have the country modifier "mal_investment_of_the_mansa"
******* Does not have the country modifier "mal_second_target"
******* Has the country modifier "mal_the_gold_inflation"
****** save_event_target_as = mal_next_gold_target
** Option: flavor_mal.45.a:
*** AI chance:
**** Base chance of 1
** Option: flavor_mal.45.b:
*** Trigger:
**** Our country:
***** Does not have the country modifier "mal_second_target"
*** event_target:mal_next_gold_target:
**** Gets the country event:
***** ID is flavor_mal.44
**** Hidden effect:
***** Adds the modifier "mal_second_target" for 12 months:
*** Our country:
**** Random neighbor country:
***** Limited to:
****** Does not have the country modifier "mal_investment_of_the_mansa"
*** AI chance:
**** Base chance of 0
* Gets the country event:
** ID is flavor_mal.46
** title = flavor_mal.46.t
** desc = flavor_mal.46.desc
** picture = BANKRUPTCY_eventPicture
** Trigger:
*** Has the country modifier "mal_the_gold_inflation"
*** Does not have the country flag mal_is_already_getting_visit
** Mean time to happen
*** Base mean time to happen of 1 days
** Option: flavor_mal.46.a:
*** Tooltip:
**** Adds the modifier "mal_the_gold_inflation" for 5 years:
***** Reduces inflation by -1 per year
* Gets the country event:
** ID is flavor_mal.47
** title = flavor_mal.47.t
** desc = flavor_mal.47.desc
** picture = DEATH_OF_HEIR_eventPicture
** is_triggered_only = yes
** Trigger:
*** Has the country modifier "mal_mansas_journey"
** Option: flavor_mal.47.a:
*** Changes piety by 25%
*** Adds the modifier "mal_the_pilgrim" for the rest of the campaign:
**** +1 tolerance of the true faith
**** Legitimacy is at least 0.25
**** devotion = 0.25
**** Republican tradition is at least 0.1
**** horde_unity = 0.25
**** meritocracy = 0.25
*** Removes the country modifier "mal_mansas_journey"
* Gets the country event:
** ID is flavor_mal.48
** title = flavor_mal.48.t
** desc = flavor_mal.48.desc
** picture = MALI_RULER_eventPicture
** is_triggered_only = yes
** Option: flavor_mal.48.a:
*** 0 "Mecca:
**** Changes base tax by 2
**** add_base_production = 2
**** set_great_project_tier_3:
